,name,name:en,inscription,geometry
3204,Уряду ЗУНР,,В цьому будинку з 21 листопада 1918 року по 3 січня 1919 року знаходився державний секретаріат „Уряд західноукраїнської народної республіки“,POINT (25.5931855 49.5544978)
3205,Сидіру Голубовичу,,"Тут працював громадсько-політичний діяч, голова уряду ЗУНР, уродженець Тернопільщини Сидір Голубович (1873-1938)",POINT (25.593382 49.5545137)
3206,Богдану Трофим'яку,,"В цьому будинку проживав з 1975 по 2007 р. Богдан Трофимяк, доктор історичних наук, професор, відомий дослідник національного визвольного та спортивного руху в Україні.",POINT (25.593957 49.5555968)
3207,В. О. Барвінському,,"В. О. Барвінський (1888-1963), фундатор музичної школи в м. Тернополі. „…Був майстром гармонії не тільки в музиці, але й у житті.“",POINT (25.5943501 49.5555556)
3208,Юліану Опільському,,У цьому будинку народився український письменник Юліан Опільський /Юрій Львович Рудницький/ (1884-1973),POINT (25.5949123 49.5556648)
3209,Загиблим в ВВВ,,,POINT (30.3296342 50.4919912)
3210,Братська могила воїнів ДСВ,,"Вечная слава неизвестным воинам советской армии, павшим в боях за освобождение нашей Родины 1941-1945",POINT (30.2256271 50.4487834)
3211,Загиблому в АТО,,,POINT (30.3284485 50.492674)
3212,Шевченку Т. Г.,,,POINT (30.3307115 50.4920946)
3213,Зубицький Данило,,"Зубицький Данило Никифорович, народний лікар-фітотерапевт, академік",POINT (30.4079708 50.4625629)
3214,Ведмедик - талісман Олімпіади 1980,1980 Summer Olympics (Мишка),,POINT (30.259556 50.4484727)
3215,Романенко Віталій,,Загинув при виконанні інтернаціонального обов’язку в Республіці Афганістан,POINT (30.3468397 50.4666847)
3216,Семененко Микола,,,POINT (30.3566537 50.467913)
3217,Башта танка Т-10,,,POINT (30.3302652 50.4703081)
3218,Будівлі Просвіти,,"На цьому місці знаходилась будівля „Просвіти“, збудована в 1870 році за рахунок коштів мешканців Тернополя.",POINT (25.5953561 49.5549063)
3219,УПТ „Рідна школа“,,"У цьому будинку, зведеному 1873 року громадкістю м. Тернополя з почину о. Степана Качали, до 1914 р. була українська бурса його імені для учнівської молоді, а з 1921-1939 рр. гімназія Українського педагогічного товариства „Рідна школа“.",POINT (25.5974187 49.5566514)
3220,Б. Антоненку-Давидовичу,,,POINT (30.5035984 50.4477693)
3221,Вишеславський Леонід,,,POINT (30.5036091 50.4477676)
3222,Голованівський Сава,,,POINT (30.5036182 50.4477661)
3223,Головко Андрій,,,POINT (30.5036277 50.4477646)
3224,Гончар Олесь,,,POINT (30.5036378 50.447763)
3225,Давид Гофштейн,,,POINT (30.5036464 50.4477616)
3226,Дубов Микола,,,POINT (30.5036553 50.4477601)
3227,Забашта Любов,,,POINT (30.5036623 50.447759)
3228,Коваленко Леонід,,"Вчений-літературознавець, критик, мешкав у цьому будинку в 165-1983",POINT (30.5036693 50.4477579)
3229,Копиленко Олександр,,,POINT (30.5036764 50.4477567)
3230,Кочерга Іван,,,POINT (30.5036845 50.4477554)
