,name,name:en,inscription,geometry
0,Григорію Сковороді,Hryhorii Skovoroda,,POINT (30.5179176 50.4646117)
1,Три сестры - Тры сястры - Три сестри,Three sisters,,POINT (31.7817307 52.1119993)
2,Острая Могила,,,POINT (39.3713631 48.5152164)
3,Танк Т-34-85,,"«Этот танк участвовал в жестоких битвах против немецко-фашистских захватчиков на Ворошиловградской земле и с боями прошел дорогами войны, освобождая от фашистов Румынию, Болгарию, Югославию, Чехословакию»",POINT (39.3590124 48.5216637)
4,Тарасу Шевченку,Taras Shevchenko,,POINT (30.5130009 50.4417559)
5,О.С. Пушкін,,Пушкіну — український народ,POINT (30.4533383 50.4538316)
6,Пам’ятник В.І. Далю,,,POINT (39.299788 48.5789395)
7,Памятник воинам-освободителям,,,POINT (39.3087921 48.5679606)
8,Пам'ятник жертвам ОУН-УПА,,,POINT (39.3091381 48.5662147)
9,В.И. Ленин,,,POINT (39.3080972 48.5718709)
10,Пам’ятник В.І. Леніну,,,POINT (39.3000269 48.5773795)
11,"Памятник железнодорожникам, погибшим в годы Второй мировой войны",,,POINT (39.2932118 48.5777875)
12,Т.Г. Шевченко,,,POINT (39.308618 48.5688568)
13,Пам’ятник К.Є. Ворошилову,Kliment Voroshilov,,POINT (39.2975576 48.5717928)
14,Комбат,,,POINT (38.9745004 48.6510102)
15,Меморіал Вічної Слави,Monument of Eternal Glory at the Tomb of the Unknown Soldier,,POINT (30.5532387 50.439123)
16,Памятник Сергею Бубке,Monument to Sergey Bubka,,POINT (37.8021627 48.0193182)
17,Артему,Artem,,POINT (37.8018221 48.0172303)
18,Кобзону,,,POINT (37.8052122 48.023324)
19,Памятник Джону Юзу,Monument to John Hughes,,POINT (37.8021162 48.0137916)
20,"Викладачам, вихованцям та співробітникам ДПі, що загинули у роки війни",,,POINT (37.8020092 48.0127071)
21,Жертвам фашизму,,,POINT (37.7808089 47.9824238)
22,Паротяг 9П-17485,Locomotive,,POINT (30.4600442 50.4487684)
23,Пам'ятник Воїнам Афганістану,,,POINT (30.7587973 46.4793899)
24,Ярославу Мудрому,Yaroslav the Wise,,POINT (30.513074 50.448916)
25,могила П. Столипіна,P.Stolypin's grave,,POINT (30.5575485 50.4348287)
26,Памʼятник Олександру Пушкіну,monument Pushkin,,POINT (30.5500312 50.44025)
27,пам’ятник Ломоносову,,,POINT (35.0623083 48.4559851)
28,Памятник адмиралу П. С. Нахимову,Memorial to Admiral P.S. Nakhimov,,POINT (33.5253394 44.6165906)
29,Меморіал Солдатської Слави,,,POINT (34.5383482 49.5782228)
30,Скорботний ангел,,,POINT (34.5424638 49.5898263)
31,Пам’ятник Пирогову,,,POINT (28.4571596 49.2321289)
32,Засновникам Києва,Monument to Kyiv founders,,POINT (30.5689622 50.4291065)
33,МіГ-19ПМ,,,POINT (35.080599 48.3690782)
34,Тарас Шевченко,Taras Shevchenko,,POINT (35.0743251 48.4662902)
35,Пам’ятник Слави,Monument of Eternal Glory,,POINT (35.0712664 48.4513908)
36,О.С. Пушкін,Alexander Pushkin,,POINT (28.6697491 50.2514871)
37,Танк Т-34-85,,,POINT (28.6589749 50.2570169)
38,Пам'ятник жертвам аварії на ЧАЕС,,,POINT (28.6569759 50.2789296)
39,Баба с хлебом ,,,POINT (39.4869468 48.6398816)
40,Монумент Князю Игорю,,,POINT (39.4995042 48.6219373)
41,Пам'ятник героям оборони Севастополя,,,POINT (35.061226 48.4469269)
42,Стелла Перемоги,Victory Stella,,POINT (38.498048 48.9402431)
43,Михайло Грушевський,Mykhailo Hrushevsky,М. Грушевський,POINT (30.513076 50.4441027)
44,Леся Українка,,У цьому будинку в березні 1889 р. жила й працювала велика українська поетеса-революціонерка Леся Українка,POINT (30.5071902 50.4384418)
45,Братская могила,,,POINT (38.1738582 48.4282236)
46,Ф.Э. Дзержинский,,,POINT (39.3153425 48.5633412)
47,Пам'ятник Тарасу Шевченку,Shevchenko Monument,,POINT (36.2342512 50.0011334)
48,Клаве Юрьевой,,,POINT (34.4008995 44.8398191)
49,Пам’ятник Коцюбинському,,,POINT (28.4887227 49.237438)
50,Танк Т-34-85,T-34-85 Tank,,POINT (38.5075333 48.943139)
51,Голда Меїр,,Тут до 1903 року жила видатний державний діяч Ізраїлю Голда Меїр. 1898-1978,POINT (30.5227625 50.4414109)
52,Шолом-Алейхем,Sholem Aleichem,,POINT (30.5200256 50.439684)
53,Менора,Menorah,Голос крові брата твого волає до мене з землі,POINT (30.4575597 50.4757421)
54,Хрест в пам'ять розстріляних православних священиків,,Честна пред Господом смерть преподобных Его,POINT (30.4583207 50.4760094)
55,Миколі Яковченку,Monument to Nicholas Yakovtchenko,,POINT (30.5272819 50.4459833)
56,Валерію Лобановському,Valeriy Lobanovskyi,,POINT (30.5300036 50.450535)
57,Жертвам 2-ї Світової Війни,Victims of World War II,,POINT (25.8455702 51.3462182)
58,Жертвам Чорнобильської катастрофи,Victims of the Chernobyl disaster,,POINT (25.8498911 51.3492871)
59,К. Д. Ушинський,,Констянтин Дмитрович Ушинський,POINT (30.4544196 50.435265)
60,Обеліск Слави,,,POINT (30.9388445 50.2605533)
61,памятник загиблим в дарницькому концтаборі,,,POINT (30.6956286 50.4298728)
62,Вічний вогонь,,,POINT (34.9528974 50.4634611)
63,Танк Т-34-85,,,POINT (35.5137146 50.1752786)
64,Героям ВВВ,,,POINT (36.4296214 49.69062)
65,Пам’ятник Артему (СДІАЗ),,,POINT (37.5734816 49.0294608)
66,МіГ-21ПФМ,Monument to the day of creation of the Ukrainian Air Force,Монумент до дня створення Військово-повітряних сил України,POINT (28.4922477 49.2393993)
67,Пам'ятник радянським льотчикам,,"Пам'ятник радянським льотчикам, загиблим при звільненні міста Вінниця",POINT (28.4203929 49.2337516)
68,Братская могила,,,POINT (36.0017833 49.6799129)
69,Амфітріта,Amphitrite,,POINT (24.0307634 49.8421127)
70,Адоніс,Adonis,,POINT (24.0320691 49.8423944)
71,Нептун,Neptune,,POINT (24.0311051 49.8414256)
72,Діана,Diana,,POINT (24.0324189 49.8417049)
73,Матір з дитиною,,Слава героям погибшим в боях за родину,POINT (31.4592098 49.7529282)
74,На честь 90-річчя утворення прикордонних військ,,,POINT (31.4581128 49.7515072)
75,"Героям Радянського Союзу, уродженцям Канівщини",,,POINT (31.458293 49.7514341)
76,Героям-афганцям,,,POINT (31.4590828 49.7512288)
77,Братська могила,,,POINT (31.4592441 49.7530213)
78,памятник Ленину,Lenin statue,,POINT (34.1002793 44.9482236)
79,Іванові Франку,Ivan Franko,ІВАН ФРАНКО,POINT (24.0211774 49.8397151)
80,Тарасові Шевченку,Taras Shevchenko,,POINT (24.0282772 49.8410059)
81,Адамові Міцкевичу,Adam Mickiewicz,ADAM MICKIEWICZ,POINT (24.0299999 49.8394719)
82,Прометей,,,POINT (34.6147702 48.5229316)
83,Жертвам тероризму,Victims of Terrorism,Пам'яти жертв тероризму в усьому світі,POINT (30.5320815 50.4367763)
84,Редут третій від правого крила поперечної лінії,Redoubt of the Russian army,,POINT (34.5422326 49.6285353)
85,Пам'ятник на братській могилі російських воїнів,Russian warriors Bed of Honor,,POINT (34.5527347 49.6314014)
86,Пам'ятник шведам від росіян,Monument to Swedes from Russians,,POINT (34.5434033 49.6329354)
87,Св. Юрію Змієборцю,,,POINT (24.0225074 49.8416456)
88,"Воїнам, що загинули в Афганістані",,,POINT (30.4877668 50.5874259)
89,Тарас Шевченко,Taras Hryhorovych Shevchenko,,POINT (26.9851586 49.4221)
90,Меморіал Визволителям Донбасу (СДІАЗ),,,POINT (37.5742281 49.0292422)
91,Військовим льотчикам (Леоніду Бикову),Military pilots (Leonid Bykov),,POINT (30.55384 50.4405143)
92,Пам'ятник визволителям,,,POINT (30.4888651 50.583152)
93,Жертвам політичних репрессій радянських часів,,,POINT (30.4946359 50.5957709)
94,Жертвам голодомору,,,POINT (30.4947467 50.5960216)
95,Робочим заводу «Арсенал»,Workers Monument in Kyiv Arsenal factory,Робочим заводу «Арсенал»,POINT (30.5454232 50.4439733)
96,Пам'ятник Івану Герасимовичу Харитоненку,Monument to Ivan Kharitonenko,,POINT (34.7981549 50.9071927)
97,Пам’ятник Михайлу Щепкіну,,,POINT (34.7990092 50.9052824)
98,Купрін Олександр Іванович,,В этом доме в 1884-1888 годах жил русский писатель Александр Иванович Куприн,POINT (30.5243308 50.4595118)
99,Односельчанам загиблим в ВОВ,,,POINT (27.7059617 48.602261)
100,Меморіал Слави,,,POINT (28.4686523 49.2345967)
101,Тарас Шевченко,,,POINT (22.2881442 48.6254978)
102,Воїнам-афганцям,,,POINT (28.4518204 49.2346159)
103,Mеморіал Слави,,,POINT (30.9490941 50.3538831)
104,Братська могила 51 воїнів ДСВ і пам'ятник воїнам-землякам,,,POINT (30.2168993 50.5479104)
105,Льотчикам-героям 69-го винищувального авіаполку,,,POINT (30.7448817 46.4380443)
106,М. Горькому,Monument to Maxim Horkyi,,POINT (30.7191719 46.428249)
107,Обеліск,,,POINT (37.9924272 48.5904459)
108,Павшим здесь 5 февраля 1855 года,,,POINT (33.3812283 45.2117187)
109,МиГ-17,,,POINT (33.3704231 45.2106817)
110,ЗИС-5,,,POINT (33.3635803 45.2103809)
111,Десантникам,,,POINT (33.3766285 45.195273)
112,Братская могила партизан,,,POINT (37.9981071 48.5907241)
113,Пам’ятник воїнам-афганцям,,,POINT (37.9741938 48.5872938)
114,Пам'ятник Леніну,Lenin Monument,,POINT (37.8049181 48.0025012)
115,Меморіал пам'яті воїнів-інтернаціоналістів,International Warriors' Memorial,,POINT (38.5151703 48.9406967)
116,Богдану Хмельницькому,,,POINT (31.3021526 51.4929042)
117,Безіменна висота,,,POINT (34.8893315 48.4701378)
118,Пам'ятний хрест жертвам голодомору,,,POINT (31.9226568 50.9566831)
119,Обеліск слави,,,POINT (31.9296106 50.9542253)
120,Шевченку Т.Г. пам'ятник,,,POINT (30.9720191 50.3390125)
121,Памятник партизанам,,,POINT (33.8643203 44.5364979)
122,Пам'ятник воїнам інтернаціоналістам,,,POINT (24.3262365 50.864293)
123,ІС-3,,,POINT (32.7982754 50.789176)
124,Самохідна артилерійська установка ІСУ-152,,,POINT (31.1152115 50.922012)
125,М. Г. Пігорєв,,,POINT (25.6078721 49.5546367)
126,Стецьку Ярославові,,,POINT (25.5952508 49.5555786)
127,Королю Данилові Галицькому,,,POINT (25.5898863 49.5525322)
128,Йосипу Сліпому,,,POINT (25.5912223 49.5532324)
129,Горбачевському Івану,Ivan Gorbachevskyi,,POINT (25.5880834 49.5503226)
130,Гнатюку Володимиру,,,POINT (25.5668562 49.5458447)
131,Т. Г. Шевченко,,,POINT (31.5117936 49.7323365)
132,Воїнам Другої світової війни,,,POINT (30.8501234 50.3809127)
133,Матросову,,,POINT (35.0666369 48.4590044)
134,Пам’ятник Яворницькому,,,POINT (35.0636753 48.4559857)
135,Разгрому гитлеровский войск в Крыму,,,POINT (33.4335515 44.5494973)
136,Пам’ятник на честь воїнів 26-ої армії,,висота 101,POINT (31.4081772 49.7740692)
137,Пам'ятник загиблим рибалкам під час Другої Світової війни,,,POINT (36.767469 46.6386836)
138,Мемориал погибшим во 2-й Мировой войне,Memorial of World War II,,POINT (36.474681 45.351813)
139,"Воїнам, загиблим у 2-гу світову війну",,"Тут покоїться прах двадцяти п'яти воїнів визволителів міста Києва, що загинули в 1943 р. під час бомбардування позицій фашистською авіацією",POINT (30.3533573 50.4650302)
140,Пам’ятник страховому агенту,Monument to the insurance agent,,POINT (37.8062981 48.0092626)
141,Солов'яненку,Anatoliy Solovianenko Monument,,POINT (37.8037207 48.0066988)
142,Пам'ятник герою-рятівнику,,,POINT (37.7859511 47.9821252)
143,Меморіал чернобильської слави учасникам ліквідації наслідків аварії на ЧАЕС,,,POINT (37.7970767 47.9922924)
144,Разведчикам морякам ВОВ,,,POINT (33.8912142 44.4173257)
145,Су-7Б,,"Встановлено на честь 8 гвардійської авіадивізії, яка брала участь у звільненні Черкас 1943 року",POINT (32.028787 49.4155013)
146,М-30,,Воїнам ВВВ 254 Черкаської стрілецької дивізії,POINT (32.0292822 49.4152843)
147,Памятник Амет-Хану Султану,,,POINT (34.0544547 44.4214816)
148,Слава Визволителям,,,POINT (30.4998207 50.5931267)
149,МіГ-17,,,POINT (31.5930644 49.7143648)
150,Ан-2,,,POINT (31.5958118 49.7124458)
151,Максимовича могила,,,POINT (31.6258053 49.7149188)
152,I. О. Ядловський,,,POINT (31.5120556 49.7304308)
153,меморіал Олекси Гірника,,"Пам'ятний знак на честь Олекси Гірника, який спалив себе на Тарасовій горі 21 січня 1978 року",POINT (31.5118181 49.7327847)
154,Царь Митридат,Mithridat,,POINT (36.4734164 45.3515188)
155,Ленин,Lenin Monument,,POINT (36.4750953 45.3519832)
156,Вечный огонь,Eternal Flame,Огонь вечнйо славы зажжен 9 мая 1959 года в память о воинах погибших в боях за освобождение г. Керчи и Крыма от немецко - фашистских захватчиков 1941 - 1944 гг.,POINT (36.469401 45.3502565)
157,"""Чорнобиль - біль наш довічний""",,,POINT (31.4645108 49.7495473)
158,Обелиск Славы партизанам,,,POINT (35.0960278 45.0305)
159,Кобзар,,,POINT (31.4805707 49.7747047)
160,Географічний центр Європи,The geographical center of Europe,,POINT (24.1879858 47.9635995)
161,Дуван Семён Эзрович,,,POINT (33.3682162 45.1904771)
162,10-а річниця Чорнобильської катастрофи,,,POINT (31.3314246 50.3675071)
163,Т-34-85,,,POINT (30.4421756 50.455476)
164,Бронепотяг №56 з паротягом Од-1147,,,POINT (31.4180612 49.7604478)
165,Загиблим у Берестовецькому яру,,Полум’я ваших розстріляних сердець - горить у наших серцях! Світлій пам’яті громадян Канівщини розстріляних фашистськими загарбниками в 1941-1944 роках,POINT (31.4385762 49.7420677)
166,Іванові Підкові,,,POINT (31.5109557 49.7342418)
167,Русским воинам,,,POINT (33.6120239 44.5350763)
168,Жертвам голодомору,,,POINT (31.4479169 49.7476375)
169,В’ячеславу Чорноволові,,,POINT (31.4554927 49.7518042)
170,Пам'ятник Тарасу Григоровичу Шевченку,,,POINT (24.7001535 51.2138227)
171,А. Церетеллі,,,POINT (31.4877466 49.7452373)
172,Жертвам Чорнобиля,,,POINT (28.4817757 49.2361793)
173,Дівчинка з колосками,,,POINT (30.5531205 50.4379316)
174,Воїнам-афганцям,Afghanistan War Memorial,,POINT (30.5562021 50.4322418)
175,Тарас Шевченко,,,POINT (24.320583 50.8423575)
176,Пам’ятник Чорнобильцям,,,POINT (35.0313324 48.4653133)
177,Слоник,Elephant,,POINT (25.3383146 50.7489052)
178,Памятник зенитчицам,,Милым зенитчицам 1676 ЗАП ПВО защищавшим Джанкойское небо в годы войны,POINT (34.5711825 45.9780008)
179,Защитникам Севастополя (1941-42),,,POINT (33.60234 44.4959486)
180,Рубцов Г.А.,,,POINT (33.5990501 44.5053417)
181,Героям павшим за Балаклаву,,,POINT (33.5988061 44.5056437)
182,Крестовский А.В.,,,POINT (33.5990687 44.5054961)
183,А. С. Пушкіну,,,POINT (35.0156168 48.4683978)
184,Слава праці,,,POINT (25.3799437 50.743769)
185,Воїнам-інтернаціоналістам,,Воїнам - інтернаціоналістам. Рада ветеранів воєнних конфліктів,POINT (30.6563162 50.4090591)
186,Валерію Чкалову,Chkalov monument,,POINT (30.5028347 50.449845)
187,Льотчикам,,,POINT (36.420729 49.9217414)
188,Менора,,,POINT (36.4398801 49.932957)
189,Дробицький Яр,,,POINT (36.4486854 49.9350659)
190,Стадіон,,,POINT (37.310944 48.1568838)
191,Танк Т-34-85,,,POINT (32.0424764 49.6690721)
192,Пам'ятник «У перспективі»,Monument «In Perspective»,,POINT (37.8040948 48.0019662)
193,Памятник Адмиралу Ушакову Ф.Ф.,,,POINT (33.5238008 44.600211)
194,Памятник Партизанам Крыма,,,POINT (34.387811 44.6633575)
195,Меморіальна дошка героям ВВВ,,,POINT (30.4240881 50.507155)
196,Пушкіну А. С.,,,POINT (36.2352008 49.9946742)
197,Пам'ятник Гоголю Н. В.,,,POINT (36.2330483 49.9949083)
198,Скорботна Мати,,,POINT (36.2644965 50.0386117)
199,Памятник Н.Е. Жуковскому,,,POINT (36.2771566 50.0441206)
200,"Монумент ""Андрій Первозванний""",,,POINT (36.2245215 49.9854969)
201,Загиблим співробітникам поліції,,,POINT (36.2393663 49.9991145)
202,Пам'ятник закоханим,,,POINT (36.2398784 49.9983454)
203,Пам’ятник загиблим в Афганістані,,,POINT (25.9434853 48.2686653)
204,Тарасові Шевченку,,,POINT (23.9786841 49.5257044)
205,1100 років Житомиру,,,POINT (28.6544515 50.2534067)
206,Памятник на месте расстрела жителей Симферополя фашистами,,,POINT (34.048311 44.9402563)
207,Пам'ятник Тарасу Шевченко,Taras Shevchenko Monument,,POINT (37.8035183 48.0088906)
208,"Пам'ятник незалежності «Україна, що летить»",Monument to Independence,СЛАВА УКРАЇНІ,POINT (36.2307211 49.9921445)
209,Якір,,,POINT (36.8012744 46.7450214)
210,Глобус,Globus,,POINT (37.3036488 48.1494894)
211,Зірка (монумент загиблим у Другій світовій війні),,,POINT (37.3025672 48.1461995)
212,Пам'ятник Воїну-визволителю,Monument to the Liberator Soldier,,POINT (36.2212102 50.0348676)
213,МіГ-21Ф-13,,"Воїнам-авіаторам в честь 30-ліття перемоги у Великій Вітчизняній війні от трудящих міста Луганськ""",POINT (39.3622008 48.5244874)
214,"Торпедний катер проекту 123біс ""Комсомолець""",,,POINT (36.7837792 46.7521651)
215,Пам’ятник Пушкіну,,,POINT (36.7887923 46.7522984)
216,Борцям за Незалежність України,Fighters for Independence of Ukraine,,POINT (36.2294206 49.9898475)
217,ЛА-5,Lavochkin La-5,,POINT (35.1102577 47.84591)
218,Пам'ятник Семейко М. І.,,,POINT (37.601211 48.8559145)
219,Пам’ятник Т. Г. Шевченку,,,POINT (37.5991843 48.8620608)
220,Ленин,,,POINT (37.6171571 47.9453893)
221,Отакару Ярошу,,,POINT (36.2222382 50.0276713)
222,Пам'ятник загиблому воїну,,,POINT (32.0345465 49.6706043)
223,мемориал Г.Ф.Морозова,,,POINT (34.1332298 44.9428659)
224,Пам'ятник Юрію Федьковичу,,,POINT (25.9282726 48.2933127)
225,Дерев’янка вулиця,,,POINT (36.2230199 50.0420007)
226,Дмитро Менделєєв,Dmitri Mendeleev,,POINT (30.4558129 50.4508758)
227,Вечный огонь,,,POINT (34.0941882 44.9624842)
228,памятник танкисту,,,POINT (34.2807524 44.8622736)
229,Меморіал Слави,,,POINT (31.2866111 51.4796855)
230,Чорна могила,,,POINT (31.2940885 51.4874158)
231,Героям социалистического труда,,,POINT (34.1047193 44.9539165)
232,Памятник Богдану Хмельницкому,,,POINT (34.1065578 44.9580909)
233,Памятник воинам освободителям,,,POINT (34.0792429 44.9221736)
234,Жертвам Чорнобильської катастрофи,,,POINT (30.1550138 49.7856561)
235,Тарас Шевченко,Taras Shevchenko,,POINT (30.1153646 49.7923105)
236,Пам'ятник міліціонерам що загинули,,,POINT (37.608521 48.8540671)
237,Пам’ятник Воїнам-інтернаціоналістам,,,POINT (37.608395 48.8522233)
238,Пам’ятник Васил Левски,,,POINT (36.7923783 46.7576511)
239,Пам’ятник визволення Бердянська „Соняшник”,,,POINT (36.7897959 46.7576094)
240,Гвардейский миномет Бм-13 Катюша,,,POINT (33.694006 46.0986896)
241,Танк Т-34,Tank Т-34,,POINT (33.6906823 46.1148049)
242,Гармата Д-1,,,POINT (33.6831488 46.1098009)
243,Миг-15,,,POINT (33.6918338 46.1102913)
244,Ленин,Lenin,,POINT (34.3929278 45.7135025)
245,Танк ИС-3,,,POINT (34.4046221 45.7238377)
246,Загиблим в Дарницькому районі під час Другої світової війни,,,POINT (30.6466797 50.4299947)
247,"Ракетный комплекс ""Комета""",,,POINT (34.1366087 45.2885015)
248,Партизанам 1941-44 г.г.,,,POINT (33.8514562 44.4245773)
249,Linin ???,,,POINT (33.8271885 45.6418462)
250,Пам’ятник жертвам Чорнобиля,Chernobyl Sarcophagus Memorial,,POINT (30.0954483 51.3914608)
251,Памятник неизвестному Солдату,,,POINT (33.6615325 45.0736685)
252,Памятник 9-ти Героям,,,POINT (33.7577292 45.1420524)
253,Ленин,,,POINT (33.5997101 45.1319012)
254,Воїнам Сумсько-Київської стрілецької дивізії,,,POINT (30.0777663 49.8399286)
255,Пам'ятник солдатам ВВВ,,,POINT (30.6369745 47.1796182)
256,пам’ятник Ярославу Мудрому,Yaroslav the Wise,,POINT (36.2471314 50.0044327)
257,Советским воинам и партизанам,,,POINT (34.3138155 45.0532984)
258,На честь скасування кріпосного права,,,POINT (23.8616398 49.2630311)
259,Пам'ятник Чехову,,,POINT (37.5980548 48.8487543)
260,Погибшим воинам-односельчанам,,,POINT (34.1857997 45.7033229)
261,Погруддя Ведути П.П.,,,POINT (30.6362216 47.1790769)
262,Долгорукову,,,POINT (34.097359 44.9532065)
263,Танк,,,POINT (33.8819947 44.7470504)
264,Памятник милиционеру,,,POINT (35.558375 45.293491)
265,Назукин И.А.,,,POINT (33.5995708 44.5012889)
266,В.М. Молотов,,,POINT (34.2340664 44.5124045)
267,Христиан Стевен,,,POINT (34.2341506 44.5110335)
268,В.И. Ленин,,,POINT (34.2340155 44.512437)
269,Екіпажу бронепоїзду «Таращанець»,,,POINT (30.6546154 50.4285737)
270,В. И. Ленину,,,POINT (34.0843409 44.9617572)
271,Тарас Шевченко,,...і вражою злою кровью волю окропіте,POINT (34.5607534 49.5837389)
272,М. Горькому,,,POINT (33.2978715 45.1916744)
273,Пам'ятник коменданту Полтавської фортеці О. Келіну,Monument to Poltava fortress commandant A. S. Kelyn,,POINT (34.5609808 49.5793009)
274,Пам'ятник Т.Г.Шевченку,,,POINT (25.9352901 48.2928768)
275,Памятник партизанам,,,POINT (34.2579343 44.7913721)
276,В. И. Ленину,Lenin monument,,POINT (33.5233043 44.6114947)
277,Пам'ятник Францу Йосифу Першому,,,POINT (25.9352395 48.2839211)
278,Колиска Миру,,,POINT (25.9337335 48.2856277)
279,Перший Буковинський Митрополит Євгеній,,,POINT (25.9361166 48.2873337)
280,Ан-2,,,POINT (30.2646598 50.5782258)
281,Пам'ятник Академіку О.М. Бекетову,,,POINT (36.2349699 50.0002933)
282,А. И. Казарскому,A. I. Kazarsky Monument,,POINT (33.5241172 44.6158683)
283,Памятник затопленным кораблям,Memorial to the sunken ships,"А. Адамсонъ Скульп. 1904. Въ память кораблей, затопленныхъ въ 1854 и 1855 г.г. для загражденiя входа на рейдъ",POINT (33.5242919 44.6183442)
284,Памятник комсомольцам - защитникам Севастополя,Monument to Komsomol members - defenders of Sevastopol,"Мужеству, стойкости, верности комсомольской",POINT (33.5273044 44.6085968)
285,Т. Г. Шевченко,,,POINT (37.5529635 47.1085635)
286,Т-34-76,,,POINT (26.5851151 48.6771735)
287,Пам'ятник М.Горькому,Monument to Maxim Gorky,,POINT (38.4915741 48.9521077)
288,Пам'ятник М.В.Гоголю,Monument to N.V.Gogol,,POINT (38.4930331 48.9486792)
289,Воїнам-інтернаціоналістам,,,POINT (26.9831169 49.4216092)
290,Пам'ятна дошка бійцям 3-го полку,,,POINT (32.2584444 48.5162056)
291,Т.Г. Шевченко,,,POINT (33.4522281 44.5945335)
292,Олег Кошовий,,Герой Радянського Союзу Олег Кошовий 1926-1943,POINT (31.4596015 49.7517855)
293,Пам'ятник Ользі Кобилянській,,,POINT (25.9314093 48.2918183)
294,Памятник Кириллу и Мефодию,,,POINT (33.5252205 44.6081845)
295,Немецкое военное кладбище,German military cemetery,,POINT (33.7065699 44.4708842)
296,Пам`ятник Галині Андрусенко,,,POINT (35.0498589 48.4386076)
297,Стратонавтам,,,POINT (37.8005358 47.9957713)
298,В'ячеславові Чорноволу,,,POINT (24.9008426 49.8047675)
299,Памятник воинам-интернационалистам,,,POINT (33.4941556 45.7725741)
300,БМ-13 «Катюша» на базі ЗіС-6,,,POINT (32.2919732 48.5272616)
301,пам'ятник Т.Г. Шевченко,,,POINT (24.16268 50.7251564)
302,Пам'ятний знак воїнам - визволителям,,,POINT (32.2546982 48.5440719)
303,Жертвам Чорнобиля,Victims of Chernobyl,Жертвам Чорнобиля 26 IV 1986,POINT (32.263251 48.5049723)
304,Воїнам - Інтернаціоналістам,Warriors - Internationalists,,POINT (32.2626451 48.5036667)
305,Агатангел Кримський,,,POINT (24.3119082 50.8475206)
306,Борцям за волю України ОУН-УПА,,,POINT (24.3213202 50.8505003)
307,Загиблим у війні 1941-1945 рр.,,,POINT (26.2799033 50.6104645)
308,Братська могила радянських воїнів,,,POINT (30.3915257 48.6038789)
309,Воинам Язоновского редута,,,POINT (33.5231688 44.5971713)
310,Памятник воинам 51-ой армии,,,POINT (33.5844888 44.5557436)
311,Памятник Ф. Ф. Ушаков,,,POINT (36.4753263 45.3556678)
312,Покаянный крест,,,POINT (36.4755158 45.3559527)
313,Танк Т 34-85,,На честь визволення Чернігова від німецько-фашистських загарбників. Пам'ятник встановлено 8 травня 1968 року.,POINT (31.2750426 51.4871451)
314,Меморіал загиблим в Афганістані,,,POINT (36.6900298 49.8343965)
315,Учасникам II світової війни,,,POINT (36.6903374 49.8336918)
316,Ліквідаторам аварії на ЧАЕС,,,POINT (36.6901092 49.8355326)
317,Тарасу Шевченку,Taras Shevchenko,,POINT (24.2075813 48.0562691)
318,Пам'ятник М.І.Калініну,Monument to M.Kalinin,,POINT (38.499581 48.9556928)
319,Пам'ятник комунарам,,,POINT (35.03758 48.497763)
320,Памятник жертвам аварии на ЧАЭС,,,POINT (36.4706826 45.3471616)
321,Воїнам-інтернаціоналістам Афганістану,,,POINT (33.4157496 47.9014916)
322,Памятник защитникам 5-го Бастиона,,,POINT (33.515097 44.5991424)
323,Вдова і мати солдата,to Widow and Mother Soldier,,POINT (37.6092905 48.8479585)
324,Першим підприємцям 1990-их,,,POINT (37.601383 48.8468715)
325,Памятник Екатерине II,,,POINT (33.5251572 44.6133277)
326,Знак в честь 200-летия основания Севастополя,Here founded the city of Sevastopol,"На лицевой стороне стелы высечена надпись русском языке: «Здесь 3 (14) июня 1783 года заложен город Севастополь, морская крепость юга России ». На противоположной стороне приведён перевод греческого слова «Севастополь»: «Город, достойный поклонения». На б",POINT (33.5256829 44.615272)
327,Воинам Интернационалистам,,,POINT (33.5342424 44.6054007)
328,Памятник трудовому подвигу Севастопольцев,,,POINT (33.5271271 44.6093964)
329,Суворов А.В.,,,POINT (33.5271549 44.6062712)
330,Богдан Хмельницький,,,POINT (30.1105379 49.7935262)
331,БМП-1,,,POINT (38.3758539 49.0321468)
332,Пам'ятник захисникам Рубіжного,,,POINT (38.3697249 49.0259946)
333,Ай-Петринский меридиан,,,POINT (34.0670892 44.4682214)
334,Партизанам Ялтинского отряда,,,POINT (34.069155 44.4695564)
335,Памятник Ленину,Lenin Monument,,POINT (34.1696594 44.4968781)
336,Танк Т-34-85,,,POINT (30.4606545 50.4480638)
337,Сікорський,,,POINT (30.4611643 50.4485823)
338,Петровському Г. І.,,,POINT (37.6167873 47.9510805)
339,ІС-3,,,POINT (30.8509649 48.0214432)
340,Дзержинському,Dzerzhinsky,,POINT (37.8066767 47.9933206)
341,Комбайн прохідницький КСП-32,,,POINT (37.8041071 47.9934762)
342,Ярослав Мудрий,Yaroslav the Wise,Засновнику міста Юр'єва (Білої Церкви) Київському князю Ярославу Мудрому (978-1054),POINT (30.1085463 49.7912535)
343,Памятник С. М. Кирову,,,POINT (35.3557579 44.9635737)
344,Бюст Серго Орджоникидзе,,,POINT (35.3554417 44.9628666)
345,памятник Ф.А. Васильеву,мonument of F. A. Vasilev,,POINT (34.1688913 44.5008138)
346,Памятник павшим в ВОВ,,,POINT (35.3524912 44.9673422)
347,Пам'ятник Ватутіну,Vatutin Monument,,POINT (37.8024573 48.0150793)
